canonical_name,kcal,protein_g,carb_g,fat_g,source
kycklinglårfilé,177,19.0,0,11.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
kycklingbröstfilé,105,23.1,0,1.2,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
nötfärs,190,20.0,0,12.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
fläskfärs,224,18.0,0,17.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
blandfärs,210,19.0,0,15.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
laxfilé,181,18.4,0,12.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
torskfilé,78,18.0,0,0.5,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
tofu,118,12.0,1.5,7.0,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
kikärta kokt,135,7.5,18.0,2.4,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
svart böna kokt,120,8.0,16.0,0.8,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
röd lins torr,330,24.0,52.0,1.5,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
ägg,137,12.3,0.3,9.7,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
jasminris torr,354,7.0,79.0,0.7,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
basmatiris torr,353,8.0,78.0,0.8,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
fullkornsris torr,350,8.0,72.0,2.8,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
pasta torr,359,12.5,72.0,1.5,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
potatis,77,1.8,16.4,0.1,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
sötpotatis,81,1.3,17.1,0.2,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
bulgur torr,342,11.0,69.0,1.3,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
quinoa torr,368,14.0,64.0,6.1,"Livsmedelsverket food-composition data, CC BY 4.0, https://www.livsmedelsverket.se/"
